127.0.0.1 - - [03/Sep/2021:12:23:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_1_week.jpg HTTP/1.1" 200 1424
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_one_day.jpg HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_3_month.jpg HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_1_month.jpg HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_4_month.jpg HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_2_month.jpg HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/image/btn_search_2_week.jpg HTTP/1.1" 200 1548
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:47 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/admin/goods/adminGoodsMain.do HTTP/1.1" 200 23362
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/body_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/notice_li.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/notice_h2.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/nav_back.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/nanum.woff HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/foot_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/foo_back.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/sticky_line.gif HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:48 +0900] "GET /bookshop01/resources/imgs/nanum.ttf HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:53 +0900] "GET /bookshop01/admin/goods/modifyGoodsForm.do?goods_id=400 HTTP/1.1" 200 25488
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:53 +0900] "GET /bookshop01/download.do?goods_id=400&fileName=main1.jpg HTTP/1.1" 200 129358
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:53 +0900] "GET /bookshop01/resources/css/smartphone.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [03/Sep/2021:12:23:53 +0900] "GET /bookshop01/resources/css/tablet.css HTTP/1.1" 404 721
